Time,Bayside - Little Neck,Bedford Stuyvesant - Crown Heights,Bensonhurst - Bay Ridge,Borough Park,Canarsie - Flatlands,Central Harlem - Morningside Heights,Chelsea - Clinton,Coney Island - Sheepshead Bay,Crotona - Tremont,Downtown  - Heights - Slope,East Flatbush - Flatbush,East Harlem,East New York,Flushing - Clearview,Fordham - Bronx Park,Fresh Meadows,Gramercy Park -  Murray Hill,Greenpoint,Greenwich Village - Soho,High Bridge - Morrisania,Hunts Point - Mott Haven,Jamaica,Kingsbridge - Riverdale,Long Island City - Astoria,Lower Manhattan,Northeast Bronx,Pelham - Throgs Neck,Port  Richmond,Ridgewood - Forest Hills,Rockaway,South Beach - Tottenville,Southeast Queens,Southwest Queens,Stapleton - St. George,Sunset Park,Union Square - Lower East Side,Upper East Side,Upper West Side,Washington Heights - Inwood,West Queens,Williamsburg - Bushwick,Willowbrook
01-03-2021,635250.0,985752.2,841000.0,909710.875,669250.0,833615.0,1280943.1666666667,679150.0,520833.3333333333,1248671.2,731374.75,895000.0,687250.0,682812.5,443333.3333333333,695666.6666666666,767647.0588235294,1234250.0,2507908.3333333335,294166.6666666667,642166.6666666666,603611.0,322500.0,837325.1428571428,1888726.111111111,514389.75,527833.3333333334,485966.6666666667,624312.5,568700.0,632600.0,635041.6666666666,584111.1111111111,568166.6666666666,884125.0,1223971.1666666667,1087500.0,1185162.5,532900.0,657687.5,885125.0,545000.0
01-04-2021,633500.0,1038999.8,899750.0,914125.0,688750.0,1051666.6666666667,1335473.8333333333,660312.5,568000.0,1224000.0,760125.0,748250.0,651875.0,699125.0,403000.0,716666.6666666666,745588.2352941176,1237500.0,2756666.6666666665,310000.0,631333.3333333334,590333.1111111111,325625.0,771497.7142857143,1717295.4,555716.25,511666.6666666667,488333.3333333333,605125.0,606900.0,630150.0,637083.3333333334,604888.8888888889,570000.0,840125.0,1266250.0,1066714.2857142857,1445375.0,542650.0,676875.0,921958.3333333334,560000.0
01-05-2021,627000.0,1070500.0,892500.0,836250.0,699500.0,1049708.3333333333,1385809.5416666667,660750.0,664500.0,1303200.0,764875.0,660250.0,681875.0,671468.75,333483.3333333333,738000.0,775117.6470588235,1255625.0,2815000.0,331166.6666666667,601666.6666666666,610111.1111111111,315000.0,861879.2142857143,1772019.1,601937.5,509833.3333333333,504350.0,587500.0,635900.0,644080.0,644104.0833333334,591833.3333333334,565166.6666666666,975000.0,1185833.3333333333,1031527.0714285715,1406309.25,530750.0,678375.0,931500.0,595000.0
01-06-2021,707673.5,1043677.6,851375.0,809350.625,697500.0,892705.8333333334,1490375.0,618118.75,577000.0,1279200.0,794344.5,577250.0,735000.0,686875.0,445416.6666666667,802666.6666666666,758135.4705882353,1278125.0,2395648.0,335666.6666666667,611666.6666666666,607000.0,336000.0,834942.8571428572,1792118.7,500500.0,548165.8333333334,514000.0,595750.0,638300.0,648999.9,647250.0,589555.5555555555,567500.0,847500.0,1038962.5,1209713.2857142857,1515625.0,522150.0,687250.0,891333.3333333334,591500.0
01-07-2021,667125.0,1087600.0,856750.0,815976.0,686500.0,884708.3333333334,1547343.75,678625.0,665666.6666666666,1339800.0,739000.0,628125.0,778750.0,678125.0,361150.0,749000.0,773720.5882352941,1268750.0,2264361.5,352333.3333333333,575000.0,615944.4444444445,341250.0,892989.1428571428,1833769.1,505125.0,561333.3333333334,530666.6666666666,624375.0,624062.5,665900.0,577083.3333333334,579055.5555555555,573833.3333333334,953750.0,1105000.0,1261285.7142857143,1565375.0,519200.0,683437.5,786680.3333333334,615000.0
01-08-2021,696000.0,1032400.0,824500.0,917308.625,591666.6666666666,884583.3333333334,1510520.8333333333,683937.5,669166.6666666666,1331779.3,746488.5,701875.0,725000.0,715516.25,405416.6666666667,737333.3333333334,743705.1764705882,1285925.0,2125000.0,431666.6666666667,678166.6666666666,620811.1111111111,345187.5,905216.0,1879110.7,505000.0,591550.0,547166.6666666666,616562.5,562665.25,666000.0,573708.2916666666,552722.2222222222,589000.0,961250.0,1139666.6666666667,1258428.5714285714,1557625.0,574750.0,735375.0,868833.3333333334,644000.0
01-09-2021,720173.5,995138.0,821250.0,916100.0,599833.3333333334,871659.6666666666,1432375.0,702750.0,667500.0,1342000.0,728625.0,835250.0,723750.0,726883.6875,355000.0,750666.6666666666,750441.1764705882,1295625.0,2201666.6666666665,378500.0,642250.0,654611.1111111111,357000.0,919575.7142857143,1701200.0,609250.0,597500.0,541666.6666666666,639375.0,597665.25,678480.0,573375.0,548500.0,587333.3333333334,854500.0,1122333.3333333333,1147891.7142857143,1481875.0,535700.0,735343.75,943981.3333333334,645000.0
01-10-2021,767125.0,960700.0,792875.0,971423.25,601666.6666666666,858333.1666666666,1444250.0,694625.0,677500.0,1274000.0,717641.5,844125.0,683750.0,752091.875,362466.6666666667,740000.0,779485.2941176471,1292500.0,2194500.0,466666.6666666667,655500.0,686833.3333333334,329500.0,859188.2857142857,1779322.4,648125.0,609083.3333333334,541333.3333333334,649500.0,623600.0,688000.0,580874.875,557722.1666666666,617666.6666666666,860000.0,1107089.0,1124285.7142857143,1494518.75,508400.0,732937.5,998333.3333333334,635000.0
01-11-2021,782750.0,1026149.9,843125.0,878500.0,735000.0,895871.3333333334,1506302.0833333333,743875.0,623333.3333333334,1234700.0,701125.0,707500.0,712000.0,754937.5,356666.6666666667,765000.0,780000.0,1268750.0,2385833.3333333335,524300.0,568125.0,677111.1111111111,337250.0,831257.0,2008666.25,617500.0,596333.3333333334,538333.3333333334,654750.0,672791.4,696900.0,651875.0,578555.5555555555,616400.0,912500.0,1101178.0,1067880.4285714286,1588937.5,485900.0,737437.5,1025666.6666666666,625000.0
01-12-2021,650062.5,1000700.0,916237.5,921750.0,743000.0,939538.0,1584583.3333333333,711625.0,612475.0,1236799.9,734250.0,655250.0,727500.0,736875.0,319916.6666666667,874333.3333333334,764235.2941176471,1237500.0,2685416.6666666665,529300.0,545875.0,658333.3333333334,347250.0,836633.0714285715,2046018.55,588100.0,602750.0,536000.0,647000.0,682700.0,663988.8,663000.0,595055.5555555555,610466.6666666666,1081125.0,1133333.3333333333,1132285.7142857143,1586375.0,476650.0,700687.5,1016000.0,625000.0
